Id;Imię;Nazwisko;Data Urodzenia;Data Rejestracji;Pesel
876;ALIAKSANDR;CZYSZCZON;10-05-1967;28-07-2016;260052957527
877;ERYK;WILGA;01-05-1968;19-12-2018;975090921241
878;JOANNA;DOMINICZAK;19-11-1965;26-05-2018;883111042719
879;OLENA;NURZYNSKA;15-08-1978;24-02-2019;589022723817
880;IGA;OSUCHOWSKA;03-05-1960;21-02-2017;653012789290
881;YANA;KOBIALKA;07-10-1985;31-08-2017;162110632967
882;ANTON;ULINSKI;03-01-1959;25-01-2017;370072253170
883;EMILIA;CALUS;28-06-1964;02-04-2018;955093026642
884;ANIELA;CHERNENKO;10-04-1950;24-08-2016;302112013841
885;OLEKSANDRA;KARKOSZKA;03-11-1964;09-07-2019;469070495386
886;LUCJA;PYRA;06-02-1978;25-12-2018;467031849742
887;IRENEUSZ;GRODZICKI;21-03-1985;14-02-2017;470102898935
888;IZABELLA;DYMOWSKA;21-07-1975;19-05-2017;856061769116
889;AURELIA;GROCHOWSKA;04-10-1998;06-09-2017;263012959108
890;IGNACY;LICZNERSKI;01-11-1989;16-06-2016;660040799318
891;KAMIL;KOZIEJ;06-02-1991;18-10-2017;663041240922
892;JANINA;LEGUTKO;22-06-1992;26-09-2019;886110583267
893;BARTLOMIEJ;DLUGOKECKI;13-03-1981;24-01-2016;251060814889
894;IGNACY;LISIECKI;06-08-1952;15-12-2019;168061482581
895;LIUDMYLA;MOLENDA;27-12-1957;11-02-2018;572120268100
896;MARIAN;POCZATEK;22-03-1991;04-01-2016;973102505033
897;MARIKA;ZAPART;27-06-1969;26-03-2018;565101636986
898;NATALIIA;GABRYS;05-09-1999;08-10-2016;362110112178
899;VIKTOR;CHROSTEK;18-01-1972;11-01-2016;863092713761
900;IGNACY;MALANOWSKI;26-09-1988;24-01-2017;996020106565
901;ROZALIA;GWIZDZ;29-04-1993;27-03-2016;178051070938
902;BOGDAN;KARALUS;11-12-1955;12-02-2016;187122993698
903;ARLETA;BLASZCZUK;19-11-1972;19-04-2016;669022827190
904;CECYLIA;CHECINSKA;21-05-1951;19-03-2019;875091057209
905;YEVHENII;LIBERSKI;18-02-1978;17-04-2019;575072974357
906;YEVHENII;SZCZERBIAK;22-04-1950;27-06-2016;479032391834
907;JACEK;SKORA;05-07-1969;07-06-2016;899101612362
908;MARZANNA;WITAK;04-11-1974;25-03-2019;375120631941
909;BERNARD;PIONTEK;07-07-1961;06-04-2018;276020274172
910;BEATA;LEE;17-02-1958;11-03-2018;600050747769
911;MIECZYSLAWA;ZUR;20-06-1967;20-06-2016;768120960151
912;STANISLAV;MISZCZYK;14-12-1982;19-08-2019;275121769861
913;MILENA;SHULHA;23-12-1966;13-04-2019;868070680809
914;WLADYSLAW;WOJCIKOWSKI;18-12-1951;08-03-2019;877011047239
915;MARYNA;OLEK;29-06-1978;18-06-2018;600081378108
916;DOMINIKA;SWIATCZAK;28-12-1972;09-07-2016;466120821087
917;JANUSZ;JAKUBIEC;28-02-1968;19-07-2016;891082694793
918;OLAF;SYDORENKO;29-09-1985;28-11-2019;500093016984
919;NATALIIA;LECKA;08-11-1985;25-02-2017;676113043015
920;MARIANNA;SHCHERBYNA;17-01-1989;29-08-2018;398030918632
921;YULIIA;CHOMIUK;11-09-1998;30-11-2018;887090552380
922;LUCJA;CZUBEK;01-05-2002;24-01-2018;374083174477
923;BERNADETA;RADZIKOWSKA;10-06-1975;23-02-2019;481102164099
924;ROMAN;KLEIN;27-11-1993;22-01-2017;952030403120
925;ALLA;OLECHOWSKA;01-08-1995;23-12-2018;693092320564
926;OLIVIA;GRZONKA;04-04-1971;17-08-2016;482121315981
927;BOGUSLAWA;KUCHCINSKA;08-12-1963;04-06-2016;460110535900
928;BOGUMILA;KOZIARA;19-12-1975;28-11-2018;750103089759
929;BERNADETA;NOWIK;08-06-1998;15-07-2018;392062084619
930;ZDZISLAW;KRECISZ;11-02-1957;27-07-2017;799092757602
931;MARCIN;ROSLANIEC;24-09-1965;09-10-2018;761090349348
932;RUSLAN;RYCZEK;08-05-1979;22-08-2017;785050219163
933;NINA;KOSTYRA;12-12-1991;16-04-2018;590021031960
934;VIKTORIIA;SULIK;26-10-1990;17-03-2018;482081468416
935;MICHALINA;LIS;16-10-1989;30-12-2017;679111408560
936;BOGUMIL;GROCHAL;07-01-1986;03-01-2017;755122269424
937;KORNELIA;KULIK;14-12-1980;03-03-2019;592070979439
938;IZABELA;WAWAK;02-05-1951;25-06-2019;195012329918
939;PRZEMYSLAW;SWIERC;15-08-2002;14-08-2016;662070445660
940;OLHA;TERESZKIEWICZ;06-07-1980;26-07-2016;858041708312
941;TAMARA;REK;17-09-1990;05-01-2018;775013036587
942;KALINA;POREBSKA;14-03-1965;25-04-2016;466102024550
943;ANDRII;SIKORA;13-05-1970;11-03-2019;594121451501
944;MARZANNA;KOSICKA;22-09-1999;21-06-2019;484051031962
945;ADRIAN;GARCZAREK;16-09-1999;09-02-2019;852010344471
946;MARIAN;DUK;13-03-1968;01-12-2016;973111453219
947;OLEH;PETRUK;16-01-1983;16-12-2019;658121760154
948;ARKADIUSZ;DYMINSKI;10-11-1957;27-11-2017;873101482802
949;OSKAR;KOZANECKI;07-10-1998;10-02-2016;371083046165
950;WLADYSLAWA;BORUTA;21-01-1956;27-03-2018;278110895634
951;MARCELINA;TRUCHAN;09-12-1997;28-07-2019;268062656434
952;DANUTA;POWALA;11-07-1952;19-02-2017;252041094507
953;ANNA;OLCZYK;22-07-1998;06-03-2019;570070907381
954;JANINA;SOKALSKA;14-04-1996;05-01-2018;264100226064
955;OLGA;FALKIEWICZ;11-05-1982;19-02-2017;791052324612
956;LIUDMYLA;PRZYBYCIEN;25-09-1980;13-05-2017;578040726184
957;MARZENA;DZIEDZIC;25-04-1991;17-01-2018;557121236754
958;WIOLETA;SZYMANIAK;26-08-2002;12-02-2018;699121906595
959;MARZENA;JEZIERSKA;18-11-2001;03-08-2019;950031420487
960;KSAWERY;PARDA;09-09-1956;22-09-2017;373080209397
961;GRAZYNA;MISIASZEK;07-01-1981;09-12-2019;280091031428
962;WOJCIECH;KAWECKI;18-03-1985;19-03-2019;167061543553
963;SZCZEPAN;GRYS;11-10-1975;03-08-2019;479081172631
964;SONIA;JANECZKO;18-09-1993;09-03-2019;687021638425
965;JOANNA;CHELSTOWSKA;09-10-2002;16-09-2019;674080884871
966;BRONISLAWA;PRZYBYLAK;17-04-2000;21-12-2017;755111534119
967;HENRYK;GOLANSKI;10-07-1973;24-12-2017;597022157052
968;MARCELINA;KLUSZCZYNSKA;14-11-1991;24-07-2018;773081209911
969;DOMINIKA;KOTULA;25-02-1957;16-07-2018;567071554086
970;POLINA;SIERADZKA;14-03-1951;06-01-2018;273052152671
971;WIKTORIA;ZUBEK;11-03-1982;14-09-2018;382070348513
972;WANDA;MIESZALA;30-03-1963;04-02-2018;875032257764
973;ANASTAZJA;NAJDEK;07-11-1992;17-05-2016;852040341105
974;ELIZA;MIEKINA;17-03-1964;30-06-2019;984031148050
975;HALYNA;MOMOT;24-06-1950;11-09-2018;384042356422
976;MALWINA;WIELOCH;03-12-2002;13-06-2017;954021086076
977;VASYL;KISIEL;25-12-2000;22-08-2016;193120814506
978;DOMINIKA;FRACZEK;03-10-1957;25-09-2016;989100922665
979;JOANNA;BERLINSKA;10-02-1960;08-02-2018;765092223749
980;AMELIA;MOSTOWSKA;26-01-1989;28-08-2017;383112221094
981;JACEK;WARDAK;27-02-1974;17-10-2017;272060825140
982;VALENTYNA;WEGLEWSKA;29-04-1980;05-06-2019;179091043725
983;OLAF;KARASINSKI;25-04-1969;23-03-2019;385051067676
984;MIECZYSLAW;FRANCZYK;17-07-1972;29-10-2019;684040195110
985;EMILIA;WERESZCZYNSKA;03-05-1978;02-12-2017;101081049057
986;VALERII;RZESZOWSKI;16-01-1993;02-01-2016;102021544243
987;ANTONI;KOPER;14-09-1967;14-06-2018;951121231741
988;VADYM;PIECHOCKI;14-09-1955;26-12-2016;264081530680
989;KRZYSZTOF;KIJEK;19-03-1987;06-10-2019;674080921929
990;IRYNA;KOMINEK;18-05-1967;19-06-2017;495010931826
991;KRZYSZTOF;GRZYMALA;27-11-1958;24-10-2018;658050417510
992;ANNA;RAJ;02-09-1957;17-02-2018;671060514150
993;MARK;WOZNICA;18-07-1971;25-03-2019;172080517254
994;ANIELA;BOLESTA;27-02-1971;16-08-2018;664051919208
995;IRENA;SEKOWSKA;04-01-1959;17-06-2018;974110484840
996;ALEKSANDRA;MACIOLEK;25-11-1955;12-05-2017;364032069631
997;ELZBIETA;MALEK;15-04-1964;21-12-2019;992101536585
998;MICHALINA;KOCH;01-09-1960;24-10-2017;555052025556
999;WIKTORIA;JESIOLOWSKA;07-07-1975;09-04-2019;269031709894
1000;PATRYCJA;MARYNIAK;10-02-1982;19-05-2018;373102739762
1001;ANDZELIKA;BAJERSKA;05-09-1976;02-05-2018;882011631791
1002;VLADYSLAV;KOGUT;01-03-1955;15-04-2016;882041775380
1003;JULIAN;STEPANIUK;29-10-1979;17-05-2016;467080470159
1004;BOZENNA;FRIEDRICH;01-06-1999;11-03-2016;566102652079
1005;IGA;SKUBIS;29-09-1950;20-07-2019;790100669241
1006;NIKOLA;NIEDZWIECKA;05-11-1953;15-02-2016;159080611942
1007;BOGUSLAW;DOMANSKI;06-03-1974;24-07-2016;262072125411
1008;VALENTYNA;STROJEK;22-09-1976;30-06-2017;476011773609
1009;PATRYCJA;JANISZ;25-02-1974;29-04-2018;862020666644
1010;DENYS;JABLONSKI;10-07-1982;11-09-2018;100042632605
1011;LESLAW;IZYDORCZYK;16-06-1975;12-09-2017;492040267698
1012;JULIA;MROZEK;16-07-1988;13-06-2016;890022328221
1013;LUIZA;STADNYK;09-04-2002;18-09-2017;463081821636
1014;SLAWOMIR;SKONECZNY;29-12-1984;05-01-2018;852041097458
1015;ZOFIA;BANASZAK;20-08-1966;10-06-2017;487011825404
1016;PRZEMYSLAW;WINIARCZYK;30-04-1966;08-09-2017;884080436893
1017;ALIAKSANDR;HANC;08-11-1975;07-09-2017;563090662242
1018;PATRYCJA;DZIADEK;24-01-1960;08-12-2017;785052251526
1019;DAMIAN;GAPSKI;04-10-1969;21-06-2016;800021318440
1020;ARTUR;PARA;14-03-1953;13-12-2016;899123093845
1021;HALYNA;ZDUNCZYK;23-12-1958;18-11-2018;893013050637
1022;IVAN;MAJAK;05-08-1980;03-04-2017;170080300232
1023;IGA;SOBOTKA;31-03-1967;07-10-2016;787010216486
1024;BLAZEJ;MLODZIANOWSKI;04-11-1993;19-10-2016;885080863982
1025;PAULINA;TOMKIEWICZ;20-11-1992;23-11-2016;490100383598
1026;IWONA;STOLECKA;10-11-1990;24-11-2017;600032975153
1027;MIECZYSLAWA;KURA;21-02-1988;11-01-2018;484032605626
1028;HONORATA;STELMAKH;08-02-1988;30-11-2018;592072602543
1029;MIA;DUDKIEWICZ;28-01-1987;30-07-2017;769061585632
1030;OLENA;DOBRZYCKA;06-05-1972;30-08-2016;496051908194
1031;MAREK;TOMIAK;17-11-1991;17-08-2017;786082227606
1032;ANDZELIKA;PORADA;28-03-1973;25-03-2019;580031112729
1033;NELA;KALA;14-09-1979;18-01-2019;476020655334
1034;MAJA;ZEMAN;19-05-1959;01-10-2019;288032386112
1035;OLENA;WARDA;09-12-1969;10-04-2017;884070710642
1036;KALINA;DYMOWSKA;31-05-1973;10-08-2018;376073155459
1037;WIESLAW;DYLEWSKI;18-11-1989;19-01-2017;780071782198
1038;BARTLOMIEJ;TRYBUS;06-08-1998;13-11-2017;178111523215
1039;ERYK;PRZYBYLSKI;18-01-1983;27-05-2018;360071259365
1040;ANGELIKA;KONIECZNY;08-11-1966;29-06-2019;683040323168
1041;DAMIAN;KORYTOWSKI;03-01-1985;27-04-2018;483051141159
1042;MYKOLA;PAWLUS;12-11-1979;27-04-2019;273020532389
1043;JUSTYNA;KARYS;14-11-1956;25-04-2018;359120588398
1044;DARIUSZ;JASIK;01-08-1952;25-03-2018;369051551935
1045;BOGUMILA;SKUZA;23-05-1981;30-05-2016;995121689397
1046;VLADYSLAV;SOBON;30-05-1965;26-03-2016;188061420891
1047;NADIA;BIEGUN;20-01-1975;06-08-2017;585010713094
1048;KONRAD;KULEJ;04-01-1996;02-03-2018;790080935312
1049;TERESA;SZYMKIEWICZ;08-09-1996;05-11-2018;801071773341
1050;WITOLD;JAGIELLO;06-08-1954;12-09-2016;579122742346
1051;HENRYKA;PERZYNA;26-12-1996;03-09-2017;185032430506
1052;NATAN;FLAK;27-03-1950;21-12-2018;487111955347
1053;IZABELLA;GAWOR;02-02-1983;20-04-2019;550020943940
1054;REMIGIUSZ;GAWEL;18-10-1953;06-04-2017;102030538444
1055;MALWINA;KRYSIAK;25-04-1954;15-09-2019;373110106581
1056;BRUNO;WIELGOSZ;03-09-1957;17-04-2018;292043085750
1057;ADRIANA;NYCZ;28-09-1969;28-09-2018;868041390001
1058;LIUBOV;BOGDAL;08-01-1989;06-10-2018;756121381784
1059;LUDWIK;KOSCIELSKI;20-10-2002;10-04-2017;266040126773
1060;JACEK;RUDA;14-07-1963;11-05-2017;971120512059
1061;ANDRII;BABA;27-04-1975;07-09-2019;778090923835
1062;RYSZARD;STANICKI;18-04-1966;09-07-2017;898070220332
1063;ZDZISLAW;MIANOWSKI;23-11-1952;07-03-2016;179100676925
1064;HENRYKA;OCHNIO;04-09-1961;11-09-2019;765041454480
1065;VALERIIA;ZAIATS;29-12-1989;23-08-2017;282083074810
1066;ANDREI;JOZWIK;28-06-1968;06-06-2019;778090216735
1067;TERESA;DOBIES;23-09-1951;15-02-2019;665021027629
1068;PATRYCJA;GOSCINSKA;14-04-1986;08-04-2018;355081306025
1069;BOHDAN;UMINSKI;06-04-1961;19-05-2018;181022507902
1070;VITALII;WIERZBOWSKI;16-11-1968;23-07-2017;364112768632
1071;ROBERT;MATUSZYK;30-09-1950;16-02-2019;869091970240
1072;LUCJA;SAKOWICZ;01-02-1964;26-12-2017;501072980494
1073;DANUTA;STASIEWICZ;19-02-1953;15-10-2016;252121981206
1074;KAROLINA;CHODAKOWSKA;08-01-1992;28-02-2016;580101956546
1075;JOANNA;DURCZAK;07-01-1974;06-05-2019;286100538309
1076;ANASTAZJA;WILINSKA;12-07-1997;12-03-2018;591022217602
1077;ANTONI;NOWAKOWSKI;08-06-1982;15-06-2019;597110838781
1078;YURII;PALUCKI;27-03-1992;08-05-2018;675010289943
1079;WLADYSLAW;KLASA;23-09-1967;31-10-2017;978021931442
1080;BRUNO;SYGULA;09-06-1994;09-08-2017;273070639908
1081;LILIIA;KRASINSKA;08-10-1992;10-01-2016;253081122971
1082;LUDWIK;WOLINSKI;29-07-1985;24-02-2017;871061199926
1083;KINGA;FICEK;28-01-1974;28-11-2016;886032575756
1084;RENATA;BOGUSLAWSKA;23-09-1960;16-09-2019;772021201795
1085;MILOSZ;KORYCINSKI;06-02-1986;14-12-2018;650033156599
1086;MARZANNA;KUCZMA;09-05-1973;20-07-2016;799072016843
1087;BOGUMILA;PAPRZYCKA;09-07-1969;20-11-2016;371011449960
1088;EWA;MISIEK;19-01-1983;08-05-2019;285012827593
1089;BOHDAN;DOMINIAK;17-12-1995;25-11-2016;586071046795
1090;KAZIMIERA;FILIPCZYK;10-03-1969;16-05-2019;679120960321
1091;LEOKADIA;KASZUBA;11-11-1985;30-04-2019;655031420368
1092;WERONIKA;KLOS;08-10-1999;21-03-2019;558082286304
1093;DANYLO;SKUPINSKI;23-06-1992;04-09-2016;602122194368
1094;STANISLAWA;MAGIERSKA;06-05-1996;11-11-2018;176100252572
1095;IVANNA;GAJEWSKA;15-02-1950;24-01-2016;477053081160
1096;PATRYCJA;ZUCHOWSKA;16-11-1970;30-12-2016;567032922953
1097;DAMIAN;GASOWSKI;26-07-1993;15-01-2018;299120831165
1098;GRZEGORZ;LOSINSKI;19-11-1989;17-07-2016;894111133679
1099;WITOLD;RYBSKI;07-01-1957;18-01-2019;802081937951
1100;ANDREI;ROSZAK;17-11-2002;18-07-2019;576033196319
1101;INNA;STYRCZULA;07-05-1986;20-08-2018;989120237664
1102;MARCIN;SIERACKI;15-08-1986;30-05-2019;965071125748
1103;SYLWIA;GUBERNAT;18-01-1950;22-09-2018;369011093977
1104;KHRYSTYNA;OSKA;08-02-2001;11-04-2018;582112992517
1105;MAGDALENA;LUKASZCZYK;08-12-1996;26-12-2019;385123067114
1106;SEBASTIAN;PROCHNIAK;19-04-1967;08-09-2019;691070651733
1107;HANNA;MYSZKOWSKA;20-07-1978;20-02-2019;385033073063
1108;SZCZEPAN;GZIK;28-06-1950;30-08-2016;297020957579
1109;ANITA;DEBICKA;20-09-1964;07-08-2018;573052646518
1110;LILIIA;STADNIK;12-04-2002;19-01-2019;456050223462
1111;EUGENIUSZ;MUCHA;29-12-2000;01-08-2016;686071616495
1112;RAFAL;KOSTRZEWA;13-07-1953;30-05-2019;902022500215
1113;ZUZANNA;ROGUSKA;10-10-1996;18-11-2019;951070214035
1114;TYMOTEUSZ;KUKLA;28-10-1967;14-05-2016;555120902367
1115;MYKHAILO;SCHNEIDER;16-10-1975;02-07-2019;780030504515
1116;MYKOLA;JEZIORNY;24-07-1957;20-05-2016;155020190203
1117;VADYM;KOBYLARZ;02-11-1975;01-06-2017;693120793087
1118;LENA;BURAK;18-07-2000;11-05-2018;175041492118
1119;ILLIA;BIENIASZ;06-04-1992;19-08-2018;686052120336
1120;JEDRZEJ;CIEPLAK;13-04-1972;14-03-2016;273041343277
1121;KAROLINA;LISOWSKA;17-05-1997;22-10-2018;354060153643
1122;URSZULA;PACEK;25-12-1977;29-06-2019;654123148426
1123;REGINA;MIERZYNSKA;21-11-1974;15-06-2017;364032670593
1124;JANINA;GOLENIA;14-12-1998;29-11-2017;999010563545
1125;RENATA;FARON;07-05-1975;14-02-2016;357052542060
1126;MARTA;ZMYSLOWSKA;29-05-1990;18-11-2018;177101666371
1127;ANIELA;ZAPADKA;22-02-1971;20-05-2016;891031105504
1128;POLINA;CHMARA;30-09-1971;27-09-2017;181041788583
1129;GERTRUDA;ZHUK;15-06-1994;19-09-2018;995011252571
1130;NATALIIA;SYNAK;05-04-1951;05-10-2017;674110455587
1131;ROMAN;PIETROWSKI;04-06-2002;14-07-2019;198110897195
1132;ROMUALD;KROK;05-01-2001;16-06-2019;494051108017
1133;SYLWIA;SKWIERAWSKA;23-06-1985;22-11-2016;460063074917
1134;TARAS;NIEDBALSKI;19-10-1961;11-07-2018;379081125455
1135;SARA;JUROSZEK;05-06-1956;12-06-2018;756020677796
1136;ELZBIETA;SZMYT;11-11-1993;11-10-2018;379092936527
1137;ADRIANNA;BIESIADA;17-04-1974;23-04-2018;373091401508
1138;SZYMON;SWIATCZAK;01-11-1996;24-02-2017;665072964193
1139;REGINA;PIOSIK;06-06-1972;01-04-2016;176081871862
1140;DARIA;CZEKANSKA;07-06-1997;09-10-2016;491073167128
1141;MACIEJ;DERDA;12-08-1970;23-06-2017;967020262268
1142;GABRIELA;IVASHCHENKO;09-03-1972;16-12-2019;371110784540
1143;KARINA;DROZDZYNSKA;31-07-1951;25-08-2018;859100306377
1144;WOJCIECH;BULA;13-11-1986;15-11-2016;197120630608
1145;NADIA;KUPISZ;13-06-1982;12-12-2019;884021199877
1146;ALEKSANDER;DOMAGALSKI;10-05-1980;08-03-2018;384010716986
1147;NINA;POLCZYNSKA;17-06-1970;17-10-2016;666111846449
1148;OLGA;MUCKA;01-02-1961;27-02-2017;589090233054
1149;JUSTYNA;ULATOWSKA;25-03-1969;26-08-2017;170090799082
1150;MAJA;KONOPSKA;25-08-1987;14-10-2016;352021283053
1151;NADIA;GORALCZYK;30-03-1957;16-08-2018;384021386098
1152;LEON;ROJEWSKI;27-10-1968;28-11-2018;988091265585
1153;VALERII;KOSSAKOWSKI;24-05-1961;30-05-2018;663022335524
1154;TADEUSZ;CZOGALA;22-06-1969;07-05-2018;981090429347
1155;LUIZA;PALKA;06-01-1964;14-04-2017;754032577598
1156;VALERIIA;KRAMARCZYK;03-09-1978;13-03-2018;858092591281
1157;MALWINA;RAWSKA;25-06-1964;06-03-2019;999070754450
1158;VALERIIA;KRAWIECKA;03-07-1953;20-06-2017;801102795617
1159;KINGA;STAS;04-10-1963;13-03-2018;992082462397
1160;PATRYCJA;PAGACZ;26-03-2000;02-01-2017;872062827326
1161;SZCZEPAN;KWASNIAK;04-04-1997;30-01-2018;496071230806
1162;BRONISLAWA;JAKIMOWICZ;02-04-1965;23-11-2017;655033111843
1163;KHRYSTYNA;DWORACZEK;29-05-1953;24-02-2019;250013029252
1164;LILIANNA;LECHOWICZ;25-06-1964;29-08-2016;459021698686
1165;OLEKSANDRA;MATRAS;17-11-1974;22-10-2017;193070191105
1166;ELZBIETA;KOVALENKO;08-01-1959;02-07-2016;353123130138
1167;JUSTYNA;KOZYRA;01-07-1971;21-09-2016;979031668167
1168;KACPER;LUKASIAK;18-03-2002;02-11-2019;152121944571
1169;ALEKSANDER;SLAZYK;02-07-1966;17-12-2016;480110834903
1170;HONORATA;KORNELUK;04-08-1954;24-10-2018;750072329010
1171;LIDIA;SZCZUKA;13-03-1957;25-11-2016;468101493796
1172;MARK;PIETRASZEK;03-02-1971;26-01-2018;751101123495
1173;ANTON;RADZEWICZ;16-11-2000;12-09-2017;583080283784
1174;ALINA;SWIRSKA;30-12-2001;27-05-2016;266021079671
1175;POLA;GEBALA;13-05-1978;05-07-2017;361072991492
1176;MATEUSZ;MIETUS;20-07-1997;26-03-2019;551050622756
1177;HONORATA;SYGULA;19-05-1951;26-10-2017;962011215265
1178;OLENA;KOBIALKA;26-12-1978;11-03-2016;575032088606
1179;WIKTORIA;SPOLNIK;10-04-1968;04-01-2016;581031356471
1180;WIESLAW;SITKIEWICZ;17-08-1970;06-07-2016;590090807556
1181;LEON;OMELCHENKO;26-10-1962;18-01-2016;296092943683
1182;PAULINA;KOSIAK;06-03-1969;15-05-2017;182031221893
1183;JACEK;SKOWRON;28-11-1975;30-08-2019;696081540775
1184;YANA;OSMOLSKA;11-10-1954;26-03-2019;756102775811
1185;REGINA;CZOP;10-08-1992;26-04-2019;997101698041
1186;MIROSLAW;OLCZAK;14-03-1981;21-07-2016;267080356978
1187;MARCELINA;GOLOS;02-08-2001;19-02-2018;663041314487
1188;KRYSTYNA;GROCHALA;18-03-1962;09-03-2017;470052468342
1189;KAZIMIERA;BARCZEWSKA;14-06-1982;13-04-2016;264060911922
1190;PETRO;REGULA;06-12-1994;19-02-2016;582010774993
1191;LILIANNA;MODRZEJEWSKA;09-08-1988;16-01-2018;402092308418
1192;MARIA;LECHOWSKA;29-10-1961;29-06-2018;288101711112
1193;MARLENA;TARCZYNSKA;18-05-1973;29-11-2016;494051004490
1194;JULIA;SWISTEK;01-08-1983;19-05-2019;970120828262
1195;ALAN;GORCZAK;23-06-1969;25-05-2016;991010141255
1196;MILENA;MIREK;09-07-1998;20-05-2017;878090184531
1197;TAMARA;PROKOPIUK;10-07-1955;30-10-2018;464121742861
1198;SLAWOMIR;SULEWSKI;24-09-1992;07-08-2019;966052201665
1199;OLIVIER;SZYC;11-06-2000;01-07-2018;575071921499
1200;ARLETA;KOBA;18-01-1998;31-05-2019;198082107392
1201;OLHA;WYRWA;12-08-1958;10-12-2019;259120201482
1202;NATAN;WAGNER;30-05-1996;10-10-2019;400013090547
1203;BARTLOMIEJ;STRUSKI;01-02-1967;26-03-2018;378053116977
1204;VITALII;KOPYCKI;29-05-1954;09-09-2016;995080589001
1205;KAROLINA;SELIGA;23-09-1994;15-10-2017;484072727268
1206;MAJA;STRZELCZYK;23-09-1996;22-07-2016;100030781323
1207;DANIEL;KUPCZYK;28-09-1973;30-08-2017;258111537548
1208;YEVHEN;WIERZBOWSKI;25-12-1982;14-08-2019;392061988853
1209;VLADYSLAV;NOWACZYK;10-01-1972;26-06-2016;880072867530
1210;LUCYNA;TEPER;30-08-1969;14-01-2018;170082125011
1211;EMILIA;DZIUBAK;01-05-1951;24-05-2019;892031556704
1212;SABINA;FALINSKA;07-12-1981;18-06-2019;302112410804
1213;KLAUDIA;DOBRZENIECKA;12-04-1969;13-02-2018;663021040975
1214;EDWARD;DASZKIEWICZ;15-08-1986;26-12-2016;975011696874
1215;ZANETA;LENARD;17-10-1994;22-07-2016;482061845524
1216;MARIOLA;WIKA;16-02-1986;24-05-2017;750081509640
1217;ALLA;SZCZYGIELSKA;15-04-1965;21-06-2016;368040831707
1218;WERONIKA;KWARCIAK;08-11-1955;12-09-2019;872102498152
1219;DOMINIKA;JEDRUSIAK;28-04-1965;16-06-2018;151011020839
1220;KAJA;SMIETANSKA;23-04-1988;21-04-2018;579061650786
1221;GRAZYNA;TRZASKA;29-10-1980;06-09-2018;956112544840
1222;IWONA;ZIMOWSKA;02-03-2002;26-10-2018;869010395172
1223;WLODZIMIERZ;DIDYK;24-07-1979;06-03-2019;188031424106
1224;LILIANNA;KONECKA;24-09-1963;03-08-2018;486091002109
1225;MYKHAILO;FELIKS;07-11-1968;05-03-2019;498070422072
1226;MAGDA;BAJOREK;17-12-1971;12-05-2019;367081633726
1227;OLIWIA;ZDEB;02-05-1989;25-11-2018;669060917388
1228;LIDIA;LAZOWSKA;09-02-1973;14-10-2016;468031418368
1229;ANDRII;KOMOROWSKI;08-12-2001;16-01-2018;657021403787
1230;ALEXANDER;SLEDZIEWSKI;29-04-1954;11-10-2016;902121129426
1231;WACLAW;GUZY;24-05-1973;28-08-2018;151032737893
1232;ALINA;KOPANIA;01-05-1957;23-09-2019;467062781665
1233;KSAWERY;JODLOWSKI;10-04-1956;25-08-2016;252052189000
1234;HALYNA;LIPA;02-04-1997;07-08-2017;485072481485
1235;MATEUSZ;KOLACZEK;30-06-1952;27-03-2017;300100418204
1236;MIA;ZAREMBA;16-09-1982;29-04-2019;570100682629
1237;IRENA;BOROWIAK;20-11-1970;27-12-2019;985071845264
1238;HELENA;ZDUN;12-04-1999;18-09-2017;265080505527
1239;WERONIKA;WIELGOSZ;17-06-1984;07-05-2019;391020779584
1240;MACIEJ;PAWLAK;28-07-2002;11-04-2018;592070545663
1241;OLHA;SERKOWSKA;08-04-1982;11-08-2018;496111574403
1242;ADRIAN;DURSKI;24-06-1984;27-03-2016;168073046913
1243;TETIANA;JAROSINSKA;25-06-1953;01-10-2017;164120473342
1244;NIKODEM;MLODAWSKI;17-03-2002;12-03-2018;501011184881
1245;RYSZARD;SIATKOWSKI;18-02-1961;09-04-2018;257030114672
1246;WIKTORIA;PERCZYNSKA;29-11-1951;15-12-2018;587111481500
1247;VERONIKA;JANICKA;10-03-1995;23-02-2018;479052694461
1248;WITOLD;MYSZOR;31-01-1987;30-07-2019;983030325691
1249;MARIUSZ;WIECZORKOWSKI;02-10-1963;23-09-2019;174032487269
1250;ARKADIUSZ;GROCHALA;14-03-1965;29-10-2016;392030278445
1251;WLADYSLAW;GOLAN;14-12-2001;26-07-2016;675031928225
1252;MARIANNA;DEKA;02-07-1974;01-11-2019;496031539901
1253;SLAWOMIR;RADEK;19-07-2002;15-06-2017;384031447990
1254;PATRYCJA;SULOWSKA;08-07-1990;26-12-2018;583021656208
1255;WANDA;MARTIN;03-06-1989;17-06-2019;168061413408
1256;BOGUSLAWA;THIEL;06-03-1955;23-03-2017;779042787085
1257;IRENEUSZ;CIEPLY;29-01-1996;29-11-2019;869110661067
1258;ROMAN;BARTCZAK;29-08-1954;01-02-2019;801100799878
1259;POLINA;DAWID;12-12-1992;24-05-2016;281061158490
1260;MIECZYSLAWA;MROCZKOWSKA;19-06-1953;16-11-2016;651060170708
1261;LUKASZ;SEWERYN;22-08-1957;29-08-2016;200042076212
1262;LIUBOV;MATUSZEK;06-01-1969;12-10-2016;292112027347
